tweet_id,image_id,text_info,text_info_conf,image_info,image_info_conf,tweet_text,image_path
905274232590004225,901671684478029825_0,not_informative,1.0,informative,1.0,"CONGRATS ON HITTING YOIR GOAL GUYS, I'm sure the victims of Harvey will appreciate it greatly https://t.co/daPhXZvhuY",data_image/hurricane_harvey/27_8_2017/901671684478029825_0.jpg
901650362410688513,901650362410688513_0,not_informative,0.35700000000000004,informative,1.0,"RT @zachrogers03: Prayers needed in Rockport, we took quite a blow #Harvey https://t.co/F7nm1ElXQU",data_image/hurricane_harvey/27_8_2017/901650362410688513_0.jpg
901650362410688513,901650362410688513_1,not_informative,0.35700000000000004,informative,1.0,"RT @zachrogers03: Prayers needed in Rockport, we took quite a blow #Harvey https://t.co/F7nm1ElXQU",data_image/hurricane_harvey/27_8_2017/901650362410688513_1.jpg
901650362410688513,901650362410688513_2,not_informative,0.35700000000000004,informative,1.0,"RT @zachrogers03: Prayers needed in Rockport, we took quite a blow #Harvey https://t.co/F7nm1ElXQU",data_image/hurricane_harvey/27_8_2017/901650362410688513_2.jpg
901650362410688513,901650362410688513_3,not_informative,0.35700000000000004,informative,1.0,"RT @zachrogers03: Prayers needed in Rockport, we took quite a blow #Harvey https://t.co/F7nm1ElXQU",data_image/hurricane_harvey/27_8_2017/901650362410688513_3.jpg
901650454832185344,901650454832185344_0,not_informative,0.7548,informative,1.0,There was really a tornado crazy https://t.co/yhryvidFlO,data_image/hurricane_harvey/27_8_2017/901650454832185344_0.jpg
901650574785093632,901650574785093632_0,not_informative,0.3593,informative,0.7985,WATCH: Houston caught in cross-hairs of Harvey Read more: https://t.co/dZ4RfAD2vi #abc #rain #storm https://t.co/dYPFvZxDbH,data_image/hurricane_harvey/27_8_2017/901650574785093632_0.jpg
901663095940149249,901663095940149249_0,not_informative,0.5149,informative,0.6583,Harvey's potential economic costs explained https://t.co/DoPsOE2yYO https://t.co/az2meXgITh,data_image/hurricane_harvey/27_8_2017/901663095940149249_0.jpg
901701669196529669,901701669196529669_0,not_informative,0.6515,informative,1.0,Hurricane Harvey: What Austinites need to know https://t.co/CL8o65bunI https://t.co/Rx9sN8o32t,data_image/hurricane_harvey/27_8_2017/901701669196529669_0.jpg
901713432759566336,901713432759566336_0,not_informative,0.6635,informative,0.6967,Special Moment: Weather Channel reporter retrieved fallen American flag during #Harvey https://t.co/D5N6coWI8K https://t.co/DqoAxgi4u5,data_image/hurricane_harvey/27_8_2017/901713432759566336_0.jpg
901726788736471040,901726788736471040_0,not_informative,1.0,informative,0.6791,#Harvey @KPRC2 @abc13houston Still standing Strong! ὤFὤC https://t.co/IafZuQsh5p,data_image/hurricane_harvey/27_8_2017/901726788736471040_0.jpg
901729789291225088,901729789291225088_0,not_informative,0.8168,informative,1.0,RT @wxcharts: Still to come in 60 hours. #Harvey https://t.co/8PsFhcJ2Cc https://t.co/3lp9WWDMC0,data_image/hurricane_harvey/27_8_2017/901729789291225088_0.jpg
901743093493489664,901743093493489664_0,not_informative,0.6623,informative,0.6325,What's more IMPORTANT @realDonaldTrump? BILLIONS to FUND MEXICO BORDER WALL or REBUILDING TEXAS in WAKE of HURRICAN… https://t.co/myHT1iOFku,data_image/hurricane_harvey/27_8_2017/901743093493489664_0.jpg
901743093493489664,901743093493489664_1,not_informative,0.6623,informative,1.0,What's more IMPORTANT @realDonaldTrump? BILLIONS to FUND MEXICO BORDER WALL or REBUILDING TEXAS in WAKE of HURRICAN… https://t.co/myHT1iOFku,data_image/hurricane_harvey/27_8_2017/901743093493489664_1.jpg
901743093493489664,901743093493489664_2,not_informative,0.6623,informative,1.0,What's more IMPORTANT @realDonaldTrump? BILLIONS to FUND MEXICO BORDER WALL or REBUILDING TEXAS in WAKE of HURRICAN… https://t.co/myHT1iOFku,data_image/hurricane_harvey/27_8_2017/901743093493489664_2.jpg
901743093493489664,901743093493489664_3,not_informative,0.6623,informative,0.6493,What's more IMPORTANT @realDonaldTrump? BILLIONS to FUND MEXICO BORDER WALL or REBUILDING TEXAS in WAKE of HURRICAN… https://t.co/myHT1iOFku,data_image/hurricane_harvey/27_8_2017/901743093493489664_3.jpg
901746514485268480,901746514485268480_0,not_informative,1.0,informative,1.0,"RT @Mlovin1: Ironically, the thunderstorms in Houston right now look like an 'H'... #Harvey #Htown https://t.co/fmh4lxA0Ux",data_image/hurricane_harvey/27_8_2017/901746514485268480_0.jpg
901783778602962944,901783778602962944_0,not_informative,0.7125,informative,0.3518,Woodway and N. Post Oak. #Houston #Harvey https://t.co/z4th9YFG8p,data_image/hurricane_harvey/27_8_2017/901783778602962944_0.jpg
901787831433125889,901787831433125889_0,not_informative,1.0,informative,0.6443,RT @Peaceful_intent: #Rockport #TX 08/27/2017 Video footage via @WXchasing https://t.co/ZbELnUGQup #Harvey #hmrd https://t.co/s8u244gQAH,data_image/hurricane_harvey/27_8_2017/901787831433125889_0.jpg
901792190921408513,901792190921408513_0,not_informative,0.5139,informative,0.6862,RT @_SusanCarroll: Photo from Jonell Soto in South Houston #Harvey https://t.co/v2YB4DeKAL,data_image/hurricane_harvey/27_8_2017/901792190921408513_0.jpg
901796238756114433,901796238756114433_0,not_informative,1.0,informative,0.6544,"RT @MrsSalgy: Glen Cove Park, Kemah, Texas #houstonflood #Kemah #Texas #HurricaneHarvey https://t.co/d2VHMHeVLO",data_image/hurricane_harvey/27_8_2017/901796238756114433_0.jpg
901796255982116865,901796255982116865_0,not_informative,0.6857,informative,0.7672,Hurricane Harvey: why you should never drive on flooded roads https://t.co/0siXb0bdgS https://t.co/vj0q8wbf1M,data_image/hurricane_harvey/27_8_2017/901796255982116865_0.jpg
901809546242519041,901809546242519041_0,not_informative,1.0,informative,1.0,"RT @RaceForTheWH: League City, TX this morning. #Harvey https://t.co/3HBZP1kT7G",data_image/hurricane_harvey/27_8_2017/901809546242519041_0.jpg
901813742933073921,901813742933073921_0,not_informative,0.6659999999999999,informative,1.0,Harvey suxors. Got water n the house. Not good. At least my 3 lawn ornaments are perfectly fine...? ὤ4 https://t.co/1efbCd5MCV,data_image/hurricane_harvey/27_8_2017/901813742933073921_0.jpg
