tweet_id	image_id	text_info	text_info_conf	image_info	image_info_conf	text_human	text_human_conf	image_human	image_human_conf	image_damage	image_damage_conf	tweet_text	image_url	image_path
917791044158185473	917791044158185473_0	informative	1.0	informative	0.6766	other_relevant_information	1.0	other_relevant_information	0.6766	nan	nan	RT @Gizmodo: Wildfires raging through Northern California are terrifying https://t.co/dI73RFzX2i https://t.co/k4KnvIimsU	http://pbs.twimg.com/media/DLyi_WYVYAApwNg.jpg	data_image/california_wildfires/10_10_2017/917791044158185473_0.jpg
917791130590183424	917791130590183424_0	informative	1.0	informative	0.6667	infrastructure_and_utility_damage	1.0	affected_individuals	0.6667	nan	nan	PHOTOS: Deadly wildfires rage in California https://t.co/td9xT3vXOL https://t.co/OimwAncLew	http://pbs.twimg.com/media/DLymKm9UMAAu0qw.jpg	data_image/california_wildfires/10_10_2017/917791130590183424_0.jpg
917791291823591425	917791291823591425_0	informative	0.6813	informative	1.0	other_relevant_information	0.6813	infrastructure_and_utility_damage	1.0	severe_damage	1.0	RT @Cal_OES: PLS SHARE: Weâ€™re capturing wildfire response, recovery info here: https://t.co/r89LKpjLPj https://t.co/HiA1oQF2Ax	http://pbs.twimg.com/media/DLudaaZV4AAjT7x.jpg	data_image/california_wildfires/10_10_2017/917791291823591425_0.jpg
917791291823591425	917791291823591425_1	informative	0.6813	not_informative	1.0	other_relevant_information	0.6813	not_humanitarian	1.0	nan	nan	RT @Cal_OES: PLS SHARE: Weâ€™re capturing wildfire response, recovery info here: https://t.co/r89LKpjLPj https://t.co/HiA1oQF2Ax	http://pbs.twimg.com/media/DLudaZXUMAABAEZ.jpg	data_image/california_wildfires/10_10_2017/917791291823591425_1.jpg
917792092100988929	917792092100988929_0	informative	0.6727	informative	0.6612	other_relevant_information	0.6727	infrastructure_and_utility_damage	0.6612	severe_damage	1.0	RT @TIME: California's raging wildfires as you've never seen them before https://t.co/OksQOZ2LHH https://t.co/oHTMbrM2Jx	http://pbs.twimg.com/media/DLwNe-NXUAE0XCw.jpg	data_image/california_wildfires/10_10_2017/917792092100988929_0.jpg
917792147700465664	917792147700465664_0	informative	0.7143	informative	1.0	other_relevant_information	0.7143	infrastructure_and_utility_damage	1.0	severe_damage	1.0	Wildfires Threaten Californiaâ€™s First Legal Cannabis Harvest https://t.co/BSuAdfwN62 https://t.co/wNqfLrNmTp	http://pbs.twimg.com/media/DLynF2KUEAAqCYD.jpg	data_image/california_wildfires/10_10_2017/917792147700465664_0.jpg
917792930315821057	917792930315821057_0	informative	1.0	informative	1.0	injured_or_dead_people	1.0	infrastructure_and_utility_damage	1.0	severe_damage	1.0	Mass Evacuations in California as Wildfires Kill at Least 10 https://t.co/gyoKFWZuMB #CaliforniaWildfires https://t.co/KEFtjITetK	http://pbs.twimg.com/media/DLym3rJW0AAv4N_.jpg	data_image/california_wildfires/10_10_2017/917792930315821057_0.jpg
917793137925459968	917793137925459968_0	informative	1.0	informative	1.0	infrastructure_and_utility_damage	1.0	infrastructure_and_utility_damage	1.0	severe_damage	1.0	RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr	http://pbs.twimg.com/media/DLtgmEPXUAEo1LV.jpg	data_image/california_wildfires/10_10_2017/917793137925459968_0.jpg
917793137925459968	917793137925459968_1	informative	1.0	informative	0.6538	infrastructure_and_utility_damage	1.0	infrastructure_and_utility_damage	0.6538	severe_damage	1.0	RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr	http://pbs.twimg.com/media/DLtgmEPXkAAvOdi.jpg	data_image/california_wildfires/10_10_2017/917793137925459968_1.jpg
917793137925459968	917793137925459968_2	informative	1.0	informative	1.0	infrastructure_and_utility_damage	1.0	infrastructure_and_utility_damage	1.0	severe_damage	0.6434	RT @KAKEnews: California wildfires destroy more than 50 structures: https://t.co/IkSrNpmT83 #KAKEnews https://t.co/8risKwbBqr	http://pbs.twimg.com/media/DLtgmF9X0AASfbh.jpg	data_image/california_wildfires/10_10_2017/917793137925459968_2.jpg
917793158251077632	917793158251077632_0	informative	0.6575	not_informative	1.0	infrastructure_and_utility_damage	0.6575	not_humanitarian	1.0	nan	nan	RT @FoxNews: Southern California fire shrouds Disneyland Anaheim in dramatic, smoky skies https://t.co/nNxpY2kSmS https://t.co/6ripQFkIVh	http://pbs.twimg.com/media/DLxhfp2XUAE0SHp.jpg	data_image/california_wildfires/10_10_2017/917793158251077632_0.jpg
917793736918216706	917793736918216706_0	not_informative	0.6535	not_informative	1.0	not_humanitarian	0.6535	not_humanitarian	1.0	nan	nan	California wildfire. á½¡4 https://t.co/a8oD5rkDdI	http://pbs.twimg.com/media/DLyoiI0X0AAsw1h.jpg	data_image/california_wildfires/10_10_2017/917793736918216706_0.jpg
917793881533571073	917793881533571073_0	informative	1.0	informative	0.5891	injured_or_dead_people	1.0	vehicle_damage	0.5891	nan	nan	Wildfires Still Burn in Northern California; 11 Are Dead https://t.co/8rx6aoC5Ix #nyt https://t.co/UtY33zQTES	http://pbs.twimg.com/media/DLyoqzFUMAAvT9K.jpg	data_image/california_wildfires/10_10_2017/917793881533571073_0.jpg
917794024173563904	917794024173563904_0	informative	0.6792	informative	0.6814	injured_or_dead_people	0.6792	injured_or_dead_people	0.6814	nan	nan	Henry Cejudo suffers burns, loses gold medal in California wildfire â€” https://t.co/GkuLc60ZWl https://t.co/0gRZgSK4LU	http://pbs.twimg.com/media/DLyozN6WkAIAIQr.jpg	data_image/california_wildfires/10_10_2017/917794024173563904_0.jpg
917794232160661505	917794232160661505_0	informative	1.0	informative	1.0	injured_or_dead_people	1.0	infrastructure_and_utility_damage	1.0	severe_damage	0.6779	At Least 11 Dead and 100 Missing as Wildfires Rage Across Northern California - Damage and death toll rises as ... https://t.co/r9xiSn2IcK	http://pbs.twimg.com/media/DLyo_VnXUAAbIMU.jpg	data_image/california_wildfires/10_10_2017/917794232160661505_0.jpg
