tweet_id,text_info_conf,tweet_text,text_info
909474490870059014,0.6536,finally turntable running irma to celebrate i thought i play dancin tunes haim,0
906844870538665984,1.0,couple blow away irma amp harvey schluter happy 75th wedding anniversary,0
909435887200718848,1.0,state tab irma already rising flapol,1
909458363850862592,0.6667,rt looking ice food hot meals irma here find,1
912962261622378496,1.0,5 am edt sep 27 key messages tropical storm maria,1
922579681219575808,0.6316,hurricane insurance claims faq answered experts maria irma,1
869991393124466688,0.6431,cyclone mora adds rohingya plight bangladesh,1
901646202567053312,0.5072,rt we survived once we can survive again hurricaneharvey,1
914233533035696128,1.0,prepare mobile command vehicles deployment assist hurricane maria,1
905844397488660481,1.0,donate underwear harvey victims get free cup coffee cobb,1
905714805733855232,0.6931,rt hurricane irma like don worry i enough damage niggas behind,1
880515274507603968,1.0,this 4 bd 2 ba mora must seen call text direct message info,0
876874696230350848,1.0,buzzing pick mora d,0
912378861144432640,1.0,maria weakens category 1 hurricane gradual weakening expected wftv,1
905386461377257472,0.4993,strategic planning business viability using publicly available data irs help harvey,1
901747649216299008,1.0,watch tropical storm harvey soaks houston heavy rain us,1
904302986826014720,0.6299,rt sa waste management department help houston harvey cleanup ksatnews,1
905702392796209152,0.6667,rt breaking hurricane irma wreaks total carnage barbuda,0
901776462189137920,1.0,woman drowned houston floodwaters second confirmed death hurricane harvey,1
905538349942878210,1.0,never flown one beauty tornado,0
904684385189933056,0.6465,beautiful moment socialism but now killer capitalism resumes harvey,1
910579334758445057,0.6774,hurricane maria could devastate puerto rico underfunded health system,1
909822858498420737,0.365,hurricane irma aftermath schools seek to regain normalcy,1
917825253694459904,1.0,breaking california declares state of emergency following largest wildfire recorded,1
930106568116441094,1.0,algeria how social media told story iran iraq earthquake,1
909470884532047874,0.7536,fees waived landfill hurricane irma debris more info gt gt gt,1
909974287200784389,1.0,rt this coconut hit hurricane irma scarred life,0
917844462662967297,0.6643,climatologist explains conditions primed fire california,0
905766357366710273,1.0,breaking after hurricane irma escalates to category 5 disturbing new detail released,1
929989514562625538,1.0,rt iran iraq border earthquake latest at least 211 killed over 2 500 injured,1
871680267441909760,1.0,rare promo bob mora amp the third degree blues band demo cassette tape unreleased 10 hours,0
909897343671177216,1.0,this symmetry quite like irma yet let check back evening stunning appearance either way,1
921525042214789121,1.0,hi puerto rico texas 9 selfieforcrawford hope meet u soon love u d,0
907051596810379264,0.3495,harvey irma could ding u s economy combined 290 billion finance,1
916061161166200832,1.0,never thought i repeat 10 days later puertoricorelief,1
909471065600032768,0.6568,13 instances of the human spirit shining through during hurricane irma and harvey,1
909864784211988481,0.6714,currently stretching irma break far possible,0
907664730936020994,0.6763,calcasieu parish starts recover tropical storm harvey,1
920731752892698630,1.0,cool hero dog watches goats california fire,0
909469758000697344,1.0,rt latest hurricane sat images irma jose 9 10 2017 10 30 pm,1
909486244689825792,0.3432,sheltering homeless irma brings criticism mess,1
913519193009487872,0.6409999999999999,hurricane maria aftermath damage yabucoa pr 9 22 2017,1
910524175294574592,0.6707,sending thoughts prayers mexico what horrendous earthquake,1
905749824800206848,1.0,irma impact risk maps showing chances impacted irma tropical storm hurricane theworldface,1
911617977056980992,1.0,hurricane maria jennifer lopez joins telemundo telethon,1
904950508653293568,0.664,gamers raise money harvey victims video game marathon gamers gaming,0
910534109553979392,0.6623,here photos showing damage hurricane maria done puerto rico,1
909420739719286784,0.6913,rick scott irma he old school elitist,0
909845395332829185,1.0,brought water lunches manatee families ccpsstrong mes irma stayingstrong,1
930493617537454080,1.0,the death toll 530 made iran deadliest earthquake decade news world,1
916060534507823104,1.0,nh donation drive puerto rico exceeds expectations,1
904812130389549056,0.6622,harvey flooding seen space,1
904681149619896320,0.6259,rt how harvey may reshape federal flood insurance policy,1
917833777812066304,0.6785,california large mediterranean climate setup wildfires photo prism climate group,1
913357134905176066,0.6886,mexican mp claims north korea blame mexico earthquake causes fury,0
913181855289032704,0.6437,this photographer captured devastation hurricane maria,1
921907215149215744,0.7011,causes california worst wildfires power lines lightning arson,1
909814257730035715,0.7149,very disturbing track hurricane maria similar irma amany islands feel impact f,1
905570747313217536,0.3556,9 5 evening vet members soldiers engaged puppy therapy tamu cvm harvey,0
904648502076170240,0.6922,photosfromthefield marines saving harvey survivors floods texas,1
908151508214206465,1.0,more hats harvey actonms,0
910166284624711681,0.6368,editorial state leaders plenty work irma,1
930271699727200262,1.0,iranians donate blood 7 3 magnitude earthquake hits western iran november 13 2017,1
910029277642543104,0.685,modular container home d fastest amp efficient way 2 build strong durable buildings anywhere,0
905636957870546944,0.517,record breaking hurricane irma wreaks havoc across caribbean it apocalyptic trending,1
909865600599674881,1.0,zips loading boxes shirts help affected hurricane irma strongersmarterbetter,1
913127232377380865,0.7459,wow the untold story puerto economy before hurricane maria,0
910258440077025280,0.6579999999999999,hi douglas wilbur scary time last plane orlando b4 irma hope florida r ok,0
910701953679798272,1.0,11pm hurricane center forecast keeps maria nc coast still need watch carefully early next week,1
921316214441463808,1.0,rt how remake puerto rico grid survive next storm,1
872235889820291072,0.6667,accumulating hail cleveland nm mora co courtesy geri roper nmwx,0
914096124776058880,0.6844,and ahead hurricanemaria hurracaineirma the fakenewsmedia never reported,0
930232593403985920,1.0,usgs m 4 1 33km e al miqdadiyah iraq earthquake,0
911654962916143104,0.2795,photos show destruction and scramble for survivors after deadly mexico earthquake,1
909400394773811200,0.6613,hurricane irma took homes possibly future news,1
922393551475838976,1.0,puerto rico lays out energy future with tesla privatization fintech finance,0
904504341175951361,0.5123,texas need moral leadership they grow texasstrong harvey flyoverquotable,1
928130883214647296,0.7128,rt puerto rico governor more needed feds answered calls,1
909856019886551040,0.6696,florida aid irma recovery electric crews nebraska,1
905733959211823104,1.0,in harvey aftermath long wait sets keeping tensions high unitedstates,1
906002921350979584,0.6479,a closer look houston risk probability resilience data hurricane harvey,1
917925914914295808,0.6667,california wildfires among deadliest us history,1
909459854305091585,1.0,adventist church inter america assesses damage hurricane irma begins relief effort,1
909734134574141440,1.0,victims hurricane irma picking food volunteers able send alhamdullilah,1
912463510461992960,0.6606,poor beautiful puertorico so much damage d hurricanemaria requestshelp u s,1
872911323331481605,1.0,subtly brilliant superimposition art antonio mora spain afrodita,0
872753469731549184,1.0,ken former london mayor ward ken mora rd polling station vote pm jeremy morning,0
904366642276306945,1.0,saving grace faith community unites help harvey victims via,1
